PostcodeName;PostcodeName_accent;Population;INSEEcode;Postcode
Albigny-sur-Saône;Albigny-sur-Saône;3013;69003;69250
Bron;Bron;42850;69029;69500
Cailloux-sur-Fontaines;Cailloux-sur-Fontaines;2951;69033;69270
Caluire-et-Cuire;Caluire-et-Cuire;43479;69034;69300
Champagne-au-Mont-d'Or;Champagne-au-Mont-d'Or;6124;69040;69410
Charbonnieres-les-Bains;Charbonnières-les-Bains;5272;69044;69260
Charly;Charly;4670;69046;69390
Chassieu;Chassieu;11214;69271;69680
Collonges-au-Mont-d'Or;Collonges-au-Mont-d'Or;4604;69063;69660
Corbas;Corbas;11196;69273;69960
Couzon-au-Mont-d'Or;Couzon-au-Mont-d'Or;2541;69068;69270
Craponne;Craponne;12170;69069;69290
Curis-au-Mont-d'Or;Curis-au-Mont-d'Or;1186;69071;69250
Dardilly;Dardilly;8980;69072;69570
Decines-Charpieu;Décines-Charpieu;29905;69275;69150
Ecully;Écully;18019;69081;69130
Feyzin;Feyzin;9727;69276;69320
Fleurieu-sur-Saône;Fleurieu-sur-Saône;1549;69085;69250
Fontaines-Saint-Martin;Fontaines-Saint-Martin;3070;69087;69270
Fontaines-sur-Saone;Fontaines-sur-Saône;7005;69088;69270
Francheville;Francheville;15664;69089;69340
Genay;Genay;5632;69278;69730
Givors;Givors;20943;69091;69700
Grigny;Grigny;9941;69096;69520
Irigny;Irigny;8909;69100;69540
Jonage;Jonage;6109;69279;69330
Limonest;Limonest;3933;69116;69760
Lissieu;Lissieu;3193;69117;69380
Lyon;Lyon;;69123;69000
Marcy-l'Etoile;Marcy-l'Étoile;3711;69127;69280
Meyzieu;Meyzieu;36437;69282;69330
Mions;Mions;13716;69283;69780
Montanay;Montanay;3270;69284;69250
Mulatiere;Mulatière;6554;69142;69350
Neuville-sur-Saone;Neuville-sur-Saône;7807;69143;69250
Oullins;Oullins;37928;69149;69600
Oullins-Pierre-Bénite;Oullins-Pierre-Bénite;37928;69149;69600
Pierre-Benite;Pierre-Bénite;;69152;69310
Poleymieux-au-Mont-d'Or;Poleymieux-au-Mont-d'Or;1394;69153;69250
Quincieux;Quincieux;3620;69163;69650
Rillieux-la-Pape;Rillieux-la-Pape;31479;69286;69140
Rochetaillee-sur-Saône;Rochetaillée-sur-Saône;1546;69168;69270
Saint-Cyr-au-Mont-d'Or;Saint-Cyr-au-Mont-d'Or;6113;69191;69450
Saint-Didier-au-Mont-d'Or;Saint-Didier-au-Mont-d'Or;7405;69194;69370
Saint-Fons;Saint-Fons;19549;69199;69190
Saint-Genis-Laval;Saint-Genis-Laval;21329;69204;69230
Saint-Genis-les-Ollières;Saint-Genis-les-Ollières;5370;69205;69290
Saint-Germain-au-Mont-d'Or;Saint-Germain-au-Mont-d'Or;3037;69207;69650
Saint-Priest;Saint-Priest;49193;69290;69800
Saint-Romain-au-Mont-d'Or;Saint-Romain-au-Mont-d'Or;1241;69233;69270
Sainte-Foy-les-Lyon;Sainte-Foy-lès-Lyon;21893;69202;69110
Sathonay-Camp;Sathonay-Camp;7039;69292;69580
Sathonay-Village;Sathonay-Village;2418;69293;69580
Solaize;Solaize;3131;69296;69360
Tassin-la-Demi-Lune;Tassin-la-Demi-Lune;22819;69244;69160
Tour-de-Salvagny;Tour-de-Salvagny;4460;69250;69890
Vaulx-en-Velin;Vaulx-en-Velin;52448;69256;69120
Venissieux;Vénissieux;66701;69259;69200
Vernaison;Vernaison;5175;69260;69390
Villeurbanne;Villeurbanne;162207;69266;69100
