;nofiness;rs;rslongue;complrs;numvoie;typvoie;voie;compvoie;compldistrib;lieuditbp;commune;ligneacheminement;departement;libdepartement;telephone;statutjuridique;libstatutjuridique;categetab;libcategetab;siren;codeape;datecrea
structureej;10000156;CLINIQUE CONVERT;CLINIQUE CONVERT;;62;AV;DE JASSERON;;;;53;01000 BOURG EN BRESSE;1;AIN;428631234;73;Société Anonyme (S.A.);;;772201489;8610Z;01/01/2001
structureej;10000222;CLINIQUE DU SOUFFLE LE PONTET;CLINIQUE DU SOUFFLE LE PONTET;;311;R;DE LA CHAPELLE;;;;185;01110 PLATEAU D HAUTEVILLE;1;AIN;474404949;95;Société par Actions Simplifiée (S.A.S.);;;546120122;8610Z;01/01/1961
structureej;10000255;ASS.ACCUEIL FORMA INSERT PERSON SOURD;ASSOCIATION POUR LA FORMATION ET L'INSERTION DES PERSONNES;ASS AFIS;5;R;DU LYCEE;;;;53;01000 BOURG EN BRESSE;1;AIN;474226685;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;779309194;8710B;01/01/2001
structureej;10000339;RESIDENCE FONTELUNE;RESIDENCE FONTELUNE;;10;R;DE LA COMMUNE 1871;;;;4;01500 AMBERIEU EN BUGEY;1;AIN;474461420;21;Etablissement Social et Médico-Social Communal;;;260100011;8710A;01/01/2001
structureej;10000347;LA RESIDENCE D'URFE;LA RESIDENCE D'URFE;;305;R;DE L'ECOLE PRIVEE;;;;159;01570 FEILLENS;1;AIN;385301285;21;Etablissement Social et Médico-Social Communal;;;260100029;8710A;01/01/2001
structureej;10000354;EHPAD L'ALBIZIA;EHPAD L'ALBIZIA;;362;R;DE LA GRAND'COTE;;;;68;01450 CERDON;1;AIN;474399662;21;Etablissement Social et Médico-Social Communal;;;260100052;8710A;01/01/2001
structureej;10000362;EHPAD FONDATION COSTAZ CHAMPAGNE;EHPAD FONDATION COSTAZ CHAMPAGNE;;116;AV;DES FRERES COSTAZ;;;;79;01260 CHAMPAGNE EN VALROMEY;1;AIN;479876141;21;Etablissement Social et Médico-Social Communal;;;260100078;8710A;01/01/1982
structureej;10000388;MAISON DE RETRAITE DE COLIGNY;MAISON DE RETRAITE DE COLIGNY;;;R;DES BOURGONDES;;;;108;01270 COLIGNY;1;AIN;474301056;21;Etablissement Social et Médico-Social Communal;;;260100094;8710A;01/01/2001
structureej;10000396;MAISON DE RETRAITE DE LAGNIEU;MAISON DE RETRAITE DE LAGNIEU;;34;R;CHARLES DE GAULLE;;;;202;01150 LAGNIEU;1;AIN;474357200;21;Etablissement Social et Médico-Social Communal;;;260100128;8730A;01/01/2001
structureej;10000404;MAISON DE RETRAITE DE MONTLUEL;MAISON DE RETRAITE DE MONTLUEL;;85;PROM;DES TILLEULS;;;;262;01120 MONTLUEL;1;AIN;478060243;21;Etablissement Social et Médico-Social Communal;;;260100144;8710A;01/01/2001
