nofinessej;rs;rslongue;complrs;numvoie;typvoie;voie;compvoie;compldistrib;lieuditbp;region;libregion;departement;libdepartement;cog;codepostal;libelle_routage;ligneacheminement;telephone;telecopie;categej;libcategej;liblongcategej;statutjuridique;libstatutjuridique;siren;datecrea;datemaj
040000168;CENTRE DES CARMES;CENTRE DES CARMES;;689;R;MARIUS AUTRIC;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04001;04510;AIGLUN;04510 AIGLUN;04 92 30 34 00;04 92 34 60 49;699;Entité Ayant Autor.;Entité Ayant Autorisation;73;Société Anonyme;007050040;2001-01-01;2007-06-12
040000788;OFFICE DU TOURISME;;;;;-LOUP;;GARE ROUTIERE;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04019;04400;BARCELONNETTE;04400 BARCELONNETTE;04 92 84 16 70;;;;;03;Commune;;2001-01-01;1989-06-12
040001059;PTS SCHTROUMPFS VALLEE D'ASSE;LES PETITS SCHROUMPFS DE LA VALL{E D'ASSE;;;;;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04031;04270;BRAS D ASSE;04270 BRAS D ASSE;;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1994-03-21
040000796;"ASSOC. ""LES PETITS PLUS""";"ASSOCIATION "" LES PETITS PLUS """;;;;ST AUBAN;;"QUARTIER ""LES CLUBIERES""";;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04049;04160;CHATEAU ARNOUX ST AUBAN;04160 CHATEAU ARNOUX ST AUBAN;04 92 64 25 21;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1989-09-15
040000952;ASSOCIATION LE SUCRE D'ORGE;ASSOCIATION LE SUCRE D'ORGE;;;ALL;DES AMANDIERS;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04034;04700;LA BRILLANNE;04700 LA BRILLANNE;;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;2006-07-06
710008079;EURL PHARMACIE HAQUETTE;;;28;R;NATIONALE;;;;26;BOURGOGNE;71;SAONE-ET-LOIRE;71176;71160;DIGOIN;71160 DIGOIN;03 85 53 09 93;03 85 53 70 78;;;;78;E.U.R.L.;;2006-07-05;2007-02-23
040001687;M ALAIN GAGE;;;;;;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04006;04260;ALLOS;04260 ALLOS;;;;;;70;Personne Physique;;2001-01-01;2002-06-05
040000523;ASS SYNDICAT INITIATIVE;;;;QUA;DES PRES;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04006;04260;ALLOS;04260 ALLOS;04 92 83 80 70;;;;;60;Ass.L.1901 non R.U.P;384266490;2001-01-01;1996-07-25
040000887;ASS FAM RURALE D'ALLOS;ASSOCIATION FAMILIALE RURALE D'ALLOS;;;QU;DES PRES;;"CHALET ""WINNIE L'OURSON""";;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04006;04260;ALLOS;04260 ALLOS;;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1991-03-29
040788275;"ASS. "" VIVRE BAYONS """;"ASSOCIATION "" VIVRE @ BAYONS """;;;PL;DE LA MAIRIE;;MAIRIE;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04023;04250;BAYONS;04250 BAYONS;04 92 68 31 03;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;2005-12-12
040000895;ASS DES GARDERIES VAL D'ALLOS;ASSOCIATION DES GARDERIES DU VAL D'ALLOS;;;;FOUX D'ALLOS;;MAISON DE LA FOUX;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04006;04260;ALLOS;04260 ALLOS;;;;;;60;Ass.L.1901 non R.U.P;384266490;2001-01-01;1996-07-25
040787939;C. C. A. S. DE CASTELLANE;CENTRE COMMUNAL D'ACTION SOCIALE;;;;RUE NATIONALE;;MAIRIE;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04039;04120;CASTELLANE;04120 CASTELLANE;04 92 83 60 07;;;;;03;Commune;260402458;2001-01-01;1988-03-08
040780140;HL DE CASTELLANE;HL DE CASTELLANE;;;BD;SAINT MICHEL;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04039;04120;CASTELLANE;04120 CASTELLANE;04 92 83 98 00;04 92 83 61 78;106;Hôpital Local;Hôpital Local;13;Etb.Pub.Commun.Hosp.;260400155;2001-01-01;2000-11-10
040000564;ASSOC BAS ALPINE ACTION {DUCATI;ASSOCIATION BAS ALPINE D ACTION {DUCATIVE;;;PL;DES R{COLLETS;;PALAIS DE JUSTICE;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04070;04000;DIGNE LES BAINS;04000 DIGNE LES BAINS;04 92 31 05 21;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1987-01-28
040000747;SARL SOGEPAPH;;;;;;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04047;04660;CHAMPTERCIER;04660 CHAMPTERCIER;04 92 32 34 50;;;;;72;S.A.R.L.;344886478;2001-01-01;1996-07-25
040000838;""" AU RELAIS DES PARENTS """;;;;;14  BATIMENT B3;;14 HLM DU MOULIN;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04070;04000;DIGNE LES BAINS;04000 DIGNE LES BAINS;04 92 32 23 97;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1990-06-15
040000382;C.A.S.I.C;SYNDICAT A VOCATION SOCIALE INTERCOMMUNALE;;;PL;DU BOURGUET;;MAIRIE FORCALQUIER;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04088;04300;FORCALQUIER;04300 FORCALQUIER;04 92 75 22 07;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1999-08-30
040000358;ASS DIGN AID FAMIL ET MENAG;;;45;BD;GASSENDI;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04070;04000;DIGNE LES BAINS;04000 DIGNE LES BAINS;04 92 31 37 55;04 92 31 28 24;;;;60;Ass.L.1901 non R.U.P;782395883;2001-01-01;1999-08-30
040000283;A P A J H;ASSOCIATION POUR ADULTES ET JEUNES HANDICAPES;;;RTE;SAINT JEAN;;SAINT-AUBAN;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04049;04160;CHATEAU ARNOUX ST AUBAN;04160 CHATEAU ARNOUX ST AUBAN;04 92 64 10 50;;;;;61;Ass.L.1901 Re.U.Pub.;314271677;2001-01-01;1998-10-12
040000374;ASS AIDE MENAGERE BANON;;;;;;;MAIRIE BANON;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04018;04150;BANON;04150 BANON;04 92 76 28 00;;;;;60;Ass.L.1901 non R.U.P;;2001-01-01;1985-03-01
040002040;LEOCARD JEAN PHILIPPE;;;18;R;NATIONALE;;;;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04039;04120;CASTELLANE;04120 CASTELLANE;04 92 83 61 01;04 92 83 75 77;;;;70;Personne Physique;445279813;2001-01-01;2005-05-20
830008645;MME BERTRAND ELISABETH;;;;PL;DES RESISTANTS;;;;93;PROVENCE-ALPES-COTE D'AZUR;83;VAR;83153;83430;ST MANDRIER SUR MER;83430 ST MANDRIER SUR MER;;;;;;70;Personne Physique;;2001-01-01;2005-05-20
840001382;ASSOCIATION AIDE AUX MERES;;;11;R;THIERS;;;;93;PROVENCE-ALPES-COTE D'AZUR;84;VAUCLUSE;84007;84000;AVIGNON;84000 AVIGNON;04 90 82 19 98;;;;;60;Ass.L.1901 non R.U.P;783204613;2001-01-01;1985-03-01
040002990;M. BREMOND PIERRE;;;;PL;DE LA REPUBLIQUE;;;CENTRE COMMERCIAL;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES DE HAUTE PROVENCE;04018;04150;BANON;04150 BANON;04 92 73 21 09;;;;;70;Personne Physique;;2001-01-01;2005-05-20
