DepCode;age_group;Year;p_FIRESP
01;0-1;2016;0,066055045871559637
01;0-1;2017;0,055928411633109618
01;0-1;2018;0,055516014234875448
01;0-1;2019;0,053250345781466112
01;0-1;2020;0,076923076923076927
01;0-1;2021;0,067848410757946204
01;0-1;2022;0,068923076923076920
01;0-1;2023;0,072271386430678472
01;0-1;2024;0,056762438682550806
01;0-1;2025;0,049295774647887321
01;2-4;2016;0,086021505376344093
01;2-4;2017;0,075471698113207544
01;2-4;2018;0,064393939393939392
01;2-4;2019;0,053278688524590161
01;2-4;2020;0,052380952380952382
01;2-4;2021;0,059490084985835696
01;2-4;2022;0,063424947145877375
01;2-4;2023;0,043715846994535519
01;2-4;2024;0,053571428571428568
01;2-4;2025;0,044871794871794872
01;5-17;2016;0,100000000000000006
01;5-17;2017;0,135371179039301320
01;5-17;2018;0,140221402214022128
01;5-17;2019;0,131147540983606564
01;5-17;2020;0,092753623188405798
01;5-17;2021;0,112676056338028172
01;5-17;2022;0,069620253164556958
01;5-17;2023;0,063079777365491654
01;5-17;2024;0,063862928348909651
01;5-17;2025;0,072340425531914887
01;18-64;2016;0,083547557840616973
01;18-64;2017;0,084712371946414497
01;18-64;2018;0,072920483693660679
01;18-64;2019;0,077315827862873818
01;18-64;2020;0,070440251572327042
01;18-64;2021;0,055591190934359630
01;18-64;2022;0,071743717629004417
01;18-64;2023;0,069452619187757511
01;18-64;2024;0,068737417313776250
01;18-64;2025;0,064313725490196080
01;65-79;2016;0,070950468540829981
01;65-79;2017;0,047244094488188976
01;65-79;2018;0,057632398753894080
01;65-79;2019;0,051993745113369821
01;65-79;2020;0,056827586206896555
01;65-79;2021;0,059659090909090912
01;65-79;2022;0,058298072402444757
01;65-79;2023;0,067697063369397223
01;65-79;2024;0,063344341038727103
01;65-79;2025;0,071010860484544691
01;80+;2016;0,041992187500000000
01;80+;2017;0,041552197802197800
01;80+;2018;0,047457627118644069
01;80+;2019;0,043865435356200529
01;80+;2020;0,041054988803184873
01;80+;2021;0,045691505673106411
01;80+;2022;0,039735099337748346
01;80+;2023;0,039324359989443128
01;80+;2024;0,039817056766209308
01;80+;2025;0,051115910727141826
02;2-4;2021;0,002832861189801700
02;18-64;2021;0,000213812272824460
02;18-64;2022;0,000191828122002686
02;65-79;2021;0,000284090909090909
02;65-79;2024;0,000300210147102972
02;80+;2016;0,000976562500000000
03;0-1;2017;0,000745712155108128
03;0-1;2018;0,002135231316725979
03;0-1;2019;0,000691562932226833
03;0-1;2020;0,001131221719457014
03;0-1;2021;0,002444987775061125
03;0-1;2022;0,001846153846153846
03;0-1;2023;0,000737463126843658
03;0-1;2024;0,000700770847932726
03;0-1;2025;0,002347417840375587
03;2-4;2020;0,004761904761904762
03;2-4;2021;0,005665722379603400
03;2-4;2022;0,010570824524312896
03;2-4;2023;0,002732240437158470
03;2-4;2024;0,002551020408163265
03;5-17;2020;0,002898550724637681
03;5-17;2023;0,003710575139146568
03;5-17;2025;0,004255319148936170
03;18-64;2016;0,005141388174807198
03;18-64;2017;0,002364066193853428
03;18-64;2018;0,005862953462806889
03;18-64;2019;0,007293946024799417
03;18-64;2020;0,003522012578616352
03;18-64;2021;0,002993371819542442
03;18-64;2022;0,002493765586034913
03;18-64;2023;0,001177163037080636
03;18-64;2024;0,002300834052343975
03;18-64;2025;0,003137254901960784
03;65-79;2016;0,001338688085676037
03;65-79;2017;0,001243265644426026
03;65-79;2018;0,001557632398753894
03;65-79;2019;0,002736512900703675
03;65-79;2020;0,000827586206896552
03;65-79;2021;0,001136363636363636
03;65-79;2022;0,001410437235543018
03;65-79;2023;0,000927357032457496
03;65-79;2025;0,000835421888053467
03;80+;2018;0,000338983050847458
03;80+;2022;0,000213629566331980
03;80+;2023;0,000527843758247559
03;80+;2024;0,000269034167339252
04;0-1;2024;0,000700770847932726
04;18-64;2017;0,000394011032308905
04;18-64;2018;0,001099303774276292
04;18-64;2020;0,000754716981132075
04;18-64;2021;0,000213812272824460
04;65-79;2017;0,000414421881475342
04;65-79;2024;0,000300210147102972
04;65-79;2025;0,000835421888053467
04;80+;2016;0,000976562500000000
04;80+;2022;0,000213629566331980
05;18-64;2020;0,000503144654088050
05;18-64;2021;0,000213812272824460
05;18-64;2022;0,000383656244005371
05;18-64;2024;0,000575208513085994
