DepCode;age_group;Year;p_FIRESP
01;0-1;2016;0,040482342807924204
01;0-1;2017;0,045371219065077913
01;0-1;2018;0,034360189573459717
01;0-1;2019;0,037529319781078971
01;0-1;2020;0,041484716157205240
01;0-1;2021;0,037097833223900194
01;0-1;2022;0,044009085746734809
01;0-1;2023;0,045066045066045064
01;0-1;2024;0,039874902267396400
01;0-1;2025;0,037359900373599000
01;2-4;2016;0,035555555555555556
01;2-4;2017;0,039170506912442393
01;2-4;2018;0,032710280373831772
01;2-4;2019;0,053173241852487133
01;2-4;2020;0,024208566108007448
01;2-4;2021;0,035714285714285712
01;2-4;2022;0,042321644498186213
01;2-4;2023;0,032258064516129031
01;2-4;2024;0,026269702276707531
01;2-4;2025;0,042307692307692310
01;5-17;2016;0,064864864864864868
01;5-17;2017;0,022388059701492536
01;5-17;2018;0,028865979381443300
01;5-17;2019;0,042944785276073622
01;5-17;2020;0,042617960426179602
01;5-17;2021;0,031496062992125984
01;5-17;2022;0,029748283752860413
01;5-17;2023;0,039835164835164832
01;5-17;2024;0,028312570781426953
01;5-17;2025;0,030534351145038167
01;18-64;2016;0,018292682926829267
01;18-64;2017;0,032800672834314551
01;18-64;2018;0,032630863358259689
01;18-64;2019;0,028215767634854772
01;18-64;2020;0,042817679558011051
01;18-64;2021;0,035458452722063036
01;18-64;2022;0,039081716315933317
01;18-64;2023;0,030219780219780220
01;18-64;2024;0,026481149012567325
01;18-64;2025;0,030864197530864196
01;65-79;2016;0,031034482758620689
01;65-79;2017;0,031525851197982346
01;65-79;2018;0,036188178528347409
01;65-79;2019;0,026957637997432605
01;65-79;2020;0,042832167832167832
01;65-79;2021;0,052734375000000000
01;65-79;2022;0,052662037037037035
01;65-79;2023;0,038616251005631534
01;65-79;2024;0,038827258320126783
01;65-79;2025;0,044887780548628430
01;80+;2016;0,039840637450199202
01;80+;2017;0,052894924946390282
01;80+;2018;0,060856498873027798
01;80+;2019;0,043103448275862072
01;80+;2020;0,048137535816618914
01;80+;2021;0,061996779388083734
01;80+;2022;0,039550213260953856
01;80+;2023;0,037735849056603772
01;80+;2024;0,039738195418419824
01;80+;2025;0,042500000000000003
02;18-64;2021;0,000358166189111748
02;80+;2016;0,001992031872509960
03;0-1;2017;0,000458295142071494
03;0-1;2019;0,000390930414386239
03;0-1;2025;0,002490660024906600
03;2-4;2022;0,002418379685610641
03;5-17;2021;0,003937007874015748
03;5-17;2022;0,001144164759725400
03;18-64;2019;0,000829875518672199
03;18-64;2023;0,000915750915750916
03;65-79;2017;0,001261034047919294
04;0-1;2018;0,000394944707740916
04;0-1;2024;0,000390930414386239
04;18-64;2020;0,000690607734806630
04;18-64;2023;0,000915750915750916
04;18-64;2024;0,000448833034111311
05;0-1;2018;0,000394944707740916
05;0-1;2024;0,000390930414386239
05;18-64;2019;0,001659751037344398
05;18-64;2022;0,000273298715496037
05;18-64;2024;0,000448833034111311
05;65-79;2016;0,003448275862068965
05;80+;2016;0,001992031872509960
06;0-1;2018;0,000394944707740916
06;0-1;2022;0,000567859170925610
06;2-4;2018;0,001557632398753894
06;18-64;2017;0,000841042893187553
06;18-64;2018;0,002039428959891231
06;18-64;2020;0,000345303867403315
06;18-64;2021;0,001432664756446991
06;18-64;2022;0,000819896146488112
06;18-64;2024;0,000448833034111311
06;65-79;2022;0,000578703703703704
06;65-79;2023;0,000804505229283990
06;65-79;2024;0,000792393026941363
06;80+;2019;0,000718390804597701
06;80+;2024;0,000467508181393174
07;0-1;2017;0,000916590284142988
07;0-1;2018;0,001974723538704581
07;0-1;2019;0,001563721657544957
07;0-1;2020;0,000727802037845706
07;0-1;2022;0,000567859170925610
07;0-1;2023;0,001165501165501166
07;0-1;2024;0,000390930414386239
07;0-1;2025;0,001245330012453300
07;2-4;2016;0,004444444444444444
07;2-4;2018;0,003115264797507788
07;2-4;2019;0,001715265866209262
07;2-4;2022;0,001209189842805320
07;5-17;2018;0,004123711340206186
07;5-17;2019;0,002044989775051125
07;5-17;2022;0,002288329519450801
07;5-17;2023;0,002747252747252747
07;18-64;2016;0,002032520325203252
07;18-64;2017;0,002523128679562658
07;18-64;2018;0,004078857919782461
07;18-64;2019;0,003319502074688797
07;18-64;2020;0,001381215469613260
07;18-64;2021;0,001790830945558739
07;18-64;2022;0,001366493577480186
07;18-64;2023;0,001831501831501832
07;18-64;2024;0,001795332136445242
07;18-64;2025;0,001028806584362140
07;65-79;2016;0,006896551724137931
07;65-79;2017;0,002522068095838588
07;65-79;2018;0,001206272617611580
07;65-79;2020;0,002622377622377622
07;65-79;2021;0,004882812500000000
07;65-79;2022;0,000578703703703704
07;65-79;2023;0,001609010458567981
07;65-79;2024;0,002377179080824089
07;65-79;2025;0,004987531172069825
07;80+;2020;0,000573065902578797
07;80+;2021;0,001610305958132045
07;80+;2022;0,001938735944164405
07;80+;2023;0,001380579843534284
07;80+;2024;0,000467508181393174
08;65-79;2021;0,000976562500000000
08;80+;2020;0,000573065902578797
08;80+;2024;0,000467508181393174
10;0-1;2022;0,000283929585462805
10;18-64;2020;0,000345303867403315
10;18-64;2021;0,000358166189111748
10;18-64;2022;0,000273298715496037
10;18-64;2023;0,000457875457875458
10;80+;2017;0,000714796283059328
10;80+;2022;0,000387747188832881
11;0-1;2019;0,000390930414386239
11;0-1;2022;0,000283929585462805
11;0-1;2024;0,000781860828772478
11;2-4;2024;0,001751313485113835
11;18-64;2022;0,000546597430992074
11;65-79;2020;0,000874125874125874
11;65-79;2022;0,000578703703703704
11;65-79;2024;0,000792393026941363
11;80+;2024;0,000467508181393174
12;0-1;2016;0,000861326442721792
13;0-1;2016;0,002583979328165375
13;0-1;2017;0,001374885426214482
13;0-1;2018;0,000394944707740916
13;0-1;2019;0,002345582486317436
13;0-1;2020;0,001455604075691412
13;0-1;2021;0,000984898227183191
13;0-1;2022;0,000567859170925610
13;0-1;2023;0,001554001554001554
13;0-1;2024;0,000781860828772478
13;0-1;2025;0,001245330012453300
13;2-4;2017;0,002304147465437788
13;2-4;2018;0,003115264797507788
13;2-4;2020;0,001862197392923650
13;5-17;2017;0,003731343283582089
13;5-17;2021;0,003937007874015748
13;5-17;2024;0,001132502831257078
13;18-64;2017;0,003364171572750210
13;18-64;2018;0,000679809653297077
13;18-64;2019;0,000829875518672199
13;18-64;2020;0,001381215469613260
13;18-64;2021;0,001432664756446991
13;18-64;2022;0,001093194861984149
13;18-64;2023;0,001373626373626374
13;18-64;2024;0,001795332136445242
13;65-79;2017;0,003783102143757881
13;65-79;2018;0,001206272617611580
13;65-79;2021;0,000976562500000000
13;65-79;2024;0,000792393026941363
13;80+;2017;0,000714796283059328
13;80+;2019;0,001436781609195402
13;80+;2020;0,000573065902578797
13;80+;2022;0,000775494377665762
13;80+;2023;0,000460193281178095
13;80+;2024;0,000467508181393174
14;0-1;2017;0,000458295142071494
14;0-1;2019;0,000390930414386239
14;0-1;2022;0,000283929585462805
14;2-4;2022;0,001209189842805320
14;5-17;2018;0,002061855670103093
14;18-64;2021;0,000358166189111748
14;18-64;2025;0,001028806584362140
14;65-79;2022;0,000578703703703704
14;80+;2020;0,000573065902578797
15;0-1;2017;0,000458295142071494
15;0-1;2023;0,000388500388500389
15;5-17;2022;0,002288329519450801
15;18-64;2018;0,001359619306594154
15;80+;2024;0,000467508181393174
16;18-64;2019;0,000829875518672199
17;0-1;2017;0,000458295142071494
17;0-1;2024;0,000390930414386239
17;18-64;2018;0,000679809653297077
17;18-64;2022;0,000273298715496037
17;18-64;2025;0,001028806584362140
17;65-79;2025;0,002493765586034913
