BirthYear,Age,YearJan1,M,F
2024,0,2025,301453,287999
2023,1,2025,308901,294573
2022,2,2025,332212,317069
2021,3,2025,344601,328512
2020,4,2025,346235,330577
2019,5,2025,359748,341678
2018,6,2025,365844,347094
2017,7,2025,372881,355028
2016,8,2025,384236,363882
2015,9,2025,395033,374500
2014,10,2025,405004,386324
2013,11,2025,409163,389209
2012,12,2025,416439,397279
2011,13,2025,419302,399605
2010,14,2025,432367,411121
2009,15,2025,430398,405336
2008,16,2025,434589,405417
2007,17,2025,426055,398902
2006,18,2025,427346,396712
2005,19,2025,409797,381817
2004,20,2025,398694,372929
2003,21,2025,386432,366210
2002,22,2025,388189,370901
2001,23,2025,393044,377281
2000,24,2025,398245,386774
1999,25,2025,380268,371137
1998,26,2025,377560,375980
1997,27,2025,376144,372489
1996,28,2025,377817,379305
1995,29,2025,379678,381498
1994,30,2025,371781,379427
1993,31,2025,375710,381326
1992,32,2025,392133,401474
1991,33,2025,395491,406551
1990,34,2025,407684,417120
1989,35,2025,405450,417294
1988,36,2025,409674,424552
1987,37,2025,408261,427065
1986,38,2025,411476,430571
1985,39,2025,410110,428871
1984,40,2025,402008,423610
1983,41,2025,398381,418182
1982,42,2025,420655,438435
1981,43,2025,421756,439714
1980,44,2025,428437,445987
1979,45,2025,403978,418104
1978,46,2025,397066,407180
1977,47,2025,398108,405658
1976,48,2025,386977,392411
1975,49,2025,397111,402655
1974,50,2025,417742,422109
1973,51,2025,435200,443184
1972,52,2025,445198,451700
1971,53,2025,439136,450383
1970,54,2025,429890,440667
1969,55,2025,420388,436403
1968,56,2025,414195,430761
1967,57,2025,412373,428504
1966,58,2025,421051,438418
1965,59,2025,419119,439206
1964,60,2025,421577,444799
1963,61,2025,410634,439182
1962,62,2025,394783,422823
1961,63,2025,391543,421416
1960,64,2025,386674,420115
1959,65,2025,380100,417664
1958,66,2025,365499,408562
1957,67,2025,359819,406110
1956,68,2025,351145,402608
1955,69,2025,343364,398080
1954,70,2025,339306,393086
1953,71,2025,327410,386158
1952,72,2025,327788,392481
1951,73,2025,316887,379706
1950,74,2025,325230,389111
1949,75,2025,314602,384197
1948,76,2025,308454,373109
1947,77,2025,293511,362565
1946,78,2025,269848,337877
1945,79,2025,195728,249255
1944,80,2025,184123,239716
1943,81,2025,173385,229390
1942,82,2025,153342,208320
1941,83,2025,129243,180837
1940,84,2025,125659,183641
1939,85,2025,121402,187885
1938,86,2025,110586,175633
1937,87,2025,98460,164003
1936,88,2025,87650,155224
1935,89,2025,73333,141021
1934,90,2025,64055,129560
1933,91,2025,51033,112161
1932,92,2025,42702,101777
1931,93,2025,33409,85346
1930,94,2025,24242,69585
1929,95,2025,16644,51809
1928,96,2025,11654,40456
1927,97,2025,7398,29371
1926,98,2025,5115,21788
1925,99,2025,2975,15077
1924,100,2025,1882,9873
1923,101,2025,1092,7036
1922,102,2025,638,4292
1921,103,2025,435,2695
1920,104,2025,312,1643
1919 ou avant,105+,2025,258,1113
2020,0,"2,021","334,586","322,542"
2019,1,"2,021","346,853","330,223"
2018,2,"2,021","351,035","334,341"
2017,3,"2,021","358,071","343,102"
2016,4,"2,021","372,072","353,680"
2015,5,"2,021","382,644","365,301"
2014,6,"2,021","393,693","378,429"
2013,7,"2,021","398,361","381,186"
2012,8,"2,021","407,057","387,572"
2011,9,"2,021","409,672","390,952"
2010,10,"2,021","420,264","402,125"
2009,11,"2,021","416,940","395,588"
2008,12,"2,021","419,991","397,743"
2007,13,"2,021","414,255","396,190"
2006,14,"2,021","422,701","400,495"
2005,15,"2,021","416,448","394,261"
2004,16,"2,021","413,283","389,240"
2003,17,"2,021","407,685","384,204"
2002,18,"2,021","408,134","384,073"
2001,19,"2,021","408,986","383,249"
2000,20,"2,021","410,175","387,245"
1999,21,"2,021","385,477","365,842"
