"annee";"CP_clean";"age_class";"N_RPU";"N_HCL";"part_HCL"
2019;"01000";"[0,1]";"908";"10";0.0110132158590308
2019;"01000";"(1,4]";"839";"5";0.00595947556615018
2019;"01000";"(4,17]";"2835";"17";0.00599647266313933
2019;"01000";"(17,64]";"11869";"98";0.00825680343752633
2019;"01000";"(64,79]";"2423";"10";0.00412711514651259
2019;"01000";"(79,Inf]";"Anonymisé";"1-4";0.00132978723404255
2019;"01000";NA;"2";"0";0
2019;"01090";"[0,1]";"149";"0";0
2019;"01090";"(1,4]";"135";"0";0
2019;"01090";"(4,17]";"Anonymisé";"1-4";0.00512820512820513
2019;"01090";"(17,64]";"1429";"21";0.0146955913226032
2019;"01090";"(64,79]";"Anonymisé";"1-4";0.00297619047619048
2019;"01090";"(79,Inf]";"281";"0";0
2019;"01090";NA;"0";"0";NA
2019;"01100";"[0,1]";"562";"6";0.0106761565836299
2019;"01100";"(1,4]";"512";"10";0.01953125
2019;"01100";"(4,17]";"1975";"18";0.00911392405063291
2019;"01100";"(17,64]";"7608";"80";0.010515247108307
2019;"01100";"(64,79]";"1431";"10";0.00698812019566737
2019;"01100";"(79,Inf]";"1097";"0";0
2019;"01100";NA;"0";"0";NA
2019;"01110";"[0,1]";"31";"0";0
2019;"01110";"(1,4]";"32";"0";0
2019;"01110";"(4,17]";"Anonymisé";"1-4";0.0175438596491228
2019;"01110";"(17,64]";"594";"10";0.0168350168350168
2019;"01110";"(64,79]";"Anonymisé";"1-4";0.00440528634361234
2019;"01110";"(79,Inf]";"297";"0";0
2019;"01110";NA;"0";"0";NA
2019;"01120";"[0,1]";"243";"121";0.497942386831276
2019;"01120";"(1,4]";"240";"123";0.5125
2019;"01120";"(4,17]";"777";"294";0.378378378378378
2019;"01120";"(17,64]";"2617";"527";0.201375620940008
2019;"01120";"(64,79]";"484";"148";0.305785123966942
2019;"01120";"(79,Inf]";"420";"164";0.39047619047619
2019;"01120";NA;"0";"0";NA
2019;"01130";"[0,1]";"Anonymisé";"1-4";0.0357142857142857
2019;"01130";"(1,4]";"Anonymisé";"1-4";0.0113636363636364
2019;"01130";"(4,17]";"Anonymisé";"1-4";0.00813008130081301
2019;"01130";"(17,64]";"1090";"11";0.0100917431192661
2019;"01130";"(64,79]";"Anonymisé";"1-4";0.00985221674876847
2019;"01130";"(79,Inf]";"Anonymisé";"1-4";0.00584795321637427
2019;"01130";NA;"0";"0";NA
2019;"01140";"[0,1]";"Anonymisé";"1-4";0.00854700854700855
2019;"01140";"(1,4]";"117";"0";0
2019;"01140";"(4,17]";"465";"0";0
2019;"01140";"(17,64]";"974";"16";0.0164271047227926
2019;"01140";"(64,79]";"140";"8";0.0571428571428571
2019;"01140";"(79,Inf]";"72";"0";0
2019;"01140";NA;"0";"0";NA
2019;"01150";"[0,1]";"204";"28";0.137254901960784
2019;"01150";"(1,4]";"221";"18";0.081447963800905
2019;"01150";"(4,17]";"888";"52";0.0585585585585586
2019;"01150";"(17,64]";"2841";"90";0.0316789862724393
2019;"01150";"(64,79]";"617";"17";0.0275526742301459
2019;"01150";"(79,Inf]";"561";"6";0.0106951871657754
2019;"01150";NA;"0";"0";NA
2019;"01160";"[0,1]";"Anonymisé";"1-4";0.00862068965517241
2019;"01160";"(1,4]";"136";"5";0.0367647058823529
2019;"01160";"(4,17]";"524";"6";0.0114503816793893
2019;"01160";"(17,64]";"1538";"29";0.0188556566970091
2019;"01160";"(64,79]";"Anonymisé";"1-4";0.00967741935483871
2019;"01160";"(79,Inf]";"Anonymisé";"1-4";0.00716845878136201
2019;"01160";NA;"0";"0";NA
2019;"01170";"[0,1]";"384";"0";0
2019;"01170";"(1,4]";"278";"5";0.0179856115107914
2019;"01170";"(4,17]";"Anonymisé";"1-4";0.00173010380622837
2019;"01170";"(17,64]";"2348";"13";0.0055366269165247
2019;"01170";"(64,79]";"339";"0";0
2019;"01170";"(79,Inf]";"251";"0";0
2019;"01170";NA;"0";"0";NA
2019;"01190";"[0,1]";"12";"0";0
2019;"01190";"(1,4]";"22";"0";0
2019;"01190";"(4,17]";"Anonymisé";"1-4";0.0185185185185185
2019;"01190";"(17,64]";"170";"5";0.0294117647058824
2019;"01190";"(64,79]";"Anonymisé";"1-4";0.0476190476190476
2019;"01190";"(79,Inf]";"29";"0";0
2019;"01190";NA;"0";"0";NA
2019;"01200";"[0,1]";"Anonymisé";"1-4";0.00242718446601942
2019;"01200";"(1,4]";"Anonymisé";"1-4";0.00303030303030303
2019;"01200";"(4,17]";"752";"6";0.00797872340425532
2019;"01200";"(17,64]";"2755";"23";0.00834845735027223
2019;"01200";"(64,79]";"Anonymisé";"1-4";0.00170357751277683
2019;"01200";"(79,Inf]";"Anonymisé";"1-4";0.0016
2019;"01200";NA;"0";"0";NA
2019;"01210";"[0,1]";"Anonymisé";"1-4";0.0117647058823529
2019;"01210";"(1,4]";"135";"0";0
2019;"01210";"(4,17]";"Anonymisé";"1-4";0.0033003300330033
2019;"01210";"(17,64]";"Anonymisé";"1-4";0.00148809523809524
2019;"01210";"(64,79]";"239";"0";0
2019;"01210";"(79,Inf]";"175";"0";0
2019;"01210";NA;"0";"0";NA
2019;"01220";"[0,1]";"Anonymisé";"1-4";0.00961538461538462
2019;"01220";"(1,4]";"78";"0";0
2019;"01220";"(4,17]";"225";"0";0
2019;"01220";"(17,64]";"Anonymisé";"1-4";0.00370828182941904
2019;"01220";"(64,79]";"174";"0";0
2019;"01220";"(79,Inf]";"209";"0";0
2019;"01220";NA;"0";"0";NA
2019;"01230";"[0,1]";"Anonymisé";"1-4";0.0285714285714286
2019;"01230";"(1,4]";"Anonymisé";"1-4";0.0422535211267606
2019;"01230";"(4,17]";"279";"7";0.025089605734767
2019;"01230";"(17,64]";"833";"23";0.0276110444177671
2019;"01230";"(64,79]";"Anonymisé";"1-4";0.00462962962962963
2019;"01230";"(79,Inf]";"Anonymisé";"1-4";0.00374531835205993
2019;"01230";NA;"0";"0";NA
2019;"01240";"[0,1]";"Anonymisé";"1-4";0.0202020202020202
2019;"01240";"(1,4]";"Anonymisé";"1-4";0.0101010101010101
2019;"01240";"(4,17]";"Anonymisé";"1-4";0.00956937799043062
2019;"01240";"(17,64]";"1219";"15";0.0123051681706317
2019;"01240";"(64,79]";"254";"6";0.0236220472440945
2019;"01240";"(79,Inf]";"Anonymisé";"1-4";0.00429184549356223
2019;"01240";NA;"0";"0";NA
