FINESS_Hosp;RegCode;DepCode;PMSIcode;age_group;catchmentHosp;PMSIpop;PMSIpopdensity;PMSIcode_Name
690781810 - HOSPICES CIVILS DE LYON;84;69;69100;0-1;1903,5783650819135;3,92276453399266e+03;2,67223662464107e+02;Villeurbanne
690781810 - HOSPICES CIVILS DE LYON;84;69;69003;0-1;1142,2320872956079;2,29761687712659e+03;3,70957435970367e+02;Lyon 3e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69008;0-1;1123,7645366912418;2,19531269731682e+03;3,23032496901363e+02;Lyon 8e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69200;0-1;951,7544046057340;2,12515769845218e+03;1,34907760312166e+02;Vénissieux
690781810 - HOSPICES CIVILS DE LYON;84;69;69120;0-1;800,0290217586158;1,69137434789740e+03;7,90789314474947e+01;Vaulx-En-Velin
690781810 - HOSPICES CIVILS DE LYON;84;69;69007;0-1;775,5713340231039;2,06222826160129e+03;2,14758644729409e+02;Lyon 7e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69300;0-1;763,9784110139990;1,01096110395150e+03;9,65370055046835e+01;Caluire-Et-Cuire
690781810 - HOSPICES CIVILS DE LYON;84;69;69800;0-1;761,8521433564426;1,42713942538978e+03;4,84860372118876e+01;Saint-Priest
690781810 - HOSPICES CIVILS DE LYON;84;69;69009;0-1;726,2036164750638;1,44362060613352e+03;1,80029528877518e+02;Lyon 9e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69500;0-1;720,1924074335154;1,19617212985295e+03;1,20496512183653e+02;Bron
690781810 - HOSPICES CIVILS DE LYON;84;69;69006;0-1;651,3399589199814;1,12374090568415e+03;3,06642525920992e+02;Lyon 6e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69330;0-1;633,9201777543204;1,21869377315678e+03;2,15618623315875e+01;Meyzieu
690781810 - HOSPICES CIVILS DE LYON;84;69;69004;0-1;534,9868808159349;6,67897609017898e+02;2,39200435575524e+02;Lyon 4e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69140;0-1;518,8507342258858;8,54827345761399e+02;5,71359958132845e+01;Rillieux-La-Pape
690781810 - HOSPICES CIVILS DE LYON;84;69;69001;0-1;448,5493914901667;6,67117207942752e+02;4,74919952632211e+02;Lyon 1er Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69600;0-1;396,1917932273316;6,71919365668380e+02;1,43576962463234e+02;Oullins
690781810 - HOSPICES CIVILS DE LYON;84;69;69150;0-1;367,3227190636654;7,69413008290132e+02;4,50335705305234e+01;Décines-Charpieu
690781810 - HOSPICES CIVILS DE LYON;84;69;69005;0-1;342,2781050221338;9,68162508461019e+02;1,64568852423689e+02;Lyon 5e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;01;01700;0-1;324,0127127594744;5,51792247127455e+02;1,15947123991296e+01;Miribel
690781810 - HOSPICES CIVILS DE LYON;84;38;38230;0-1;299,2350708210881;8,58777367337956e+02;2,62076630363140e+01;Charvieu-Chavagneux
690781810 - HOSPICES CIVILS DE LYON;84;69;69230;0-1;292,6543633988563;4,16814037009892e+02;3,20212467806895e+01;Saint-Genis-Laval
690781810 - HOSPICES CIVILS DE LYON;84;69;69700;0-1;279,6642279678032;9,36644278501037e+02;1,02755415221085e+01;Givors
690781810 - HOSPICES CIVILS DE LYON;84;69;69002;0-1;272,3747229634441;6,59865311883024e+02;1,90779621584535e+02;Lyon 2e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;84;69;69270;0-1;259,6122914490461;4,39462257527716e+02;2,13934259111834e+01;Fontaines-Sur-Saône
690781810 - HOSPICES CIVILS DE LYON;84;69;69190;0-1;257,2792296850990;5,81915138564884e+02;9,87313778216791e+01;Saint-Fons
690781810 - HOSPICES CIVILS DE LYON;84;69;69780;0-1;239,2130050322037;4,61085517202160e+02;9,97555764928758e+00;Mions
690781810 - HOSPICES CIVILS DE LYON;84;69;69360;0-1;236,0737917881277;5,40712298225477e+02;1,02720144661606e+01;Saint-Symphorien-D'ozon
690781810 - HOSPICES CIVILS DE LYON;84;01;01120;0-1;235,9587360358430;4,17053218676057e+02;4,46496884187810e+00;Montluel
690781810 - HOSPICES CIVILS DE LYON;84;69;69310;0-1;200,6498200465665;2,63534881495932e+02;6,07589602983946e+01;Pierre-Bénite
690781810 - HOSPICES CIVILS DE LYON;84;38;38200;0-1;191,7292760765105;1,07531278871985e+03;1,00927186159567e+01;Vienne
690781810 - HOSPICES CIVILS DE LYON;84;69;69530;0-1;188,8761336790124;3,35175544902194e+02;1,65415543800684e+01;Brignais
690781810 - HOSPICES CIVILS DE LYON;84;01;01800;0-1;185,7315031038877;5,15807126601474e+02;2,92076922486242e+00;Meximieux
690781810 - HOSPICES CIVILS DE LYON;84;69;69390;0-1;174,3139659967993;3,26818589614640e+02;1,37485543222373e+01;Vernaison
690781810 - HOSPICES CIVILS DE LYON;84;69;69250;0-1;159,4187412214174;3,63197705301438e+02;1,31156387864331e+01;Neuville-Sur-Saône
690781810 - HOSPICES CIVILS DE LYON;84;69;69580;0-1;145,5221867776631;2,30667217091924e+02;3,51084333693383e+01;Sathonay-Camp
690781810 - HOSPICES CIVILS DE LYON;84;69;69160;0-1;139,9949974931064;5,33175300901947e+02;6,52907982490610e+01;Tassin-La-Demi-Lune
690781810 - HOSPICES CIVILS DE LYON;84;38;38300;0-1;131,4033211584874;1,27286703777584e+03;7,18804406711995e+00;Bourgoin-Jallieu
690781810 - HOSPICES CIVILS DE LYON;84;69;69440;0-1;131,1412356907285;3,62971727720165e+02;3,76473806433647e+00;Mornant
690781810 - HOSPICES CIVILS DE LYON;84;69;69290;0-1;129,5536318262010;5,38328003600921e+02;1,67567452928204e+01;Craponne
690781810 - HOSPICES CIVILS DE LYON;84;69;69320;0-1;125,3727925767200;2,72765319917532e+02;2,62939887381803e+01;Feyzin
690781810 - HOSPICES CIVILS DE LYON;84;69;69540;0-1;121,5435578641222;1,96944684866966e+02;2,20777927022564e+01;Irigny
690781810 - HOSPICES CIVILS DE LYON;84;69;69680;0-1;116,8018575484169;2,32931617155584e+02;1,96795247305339e+01;Chassieu
690781810 - HOSPICES CIVILS DE LYON;84;69;69110;0-1;112,3645716823254;4,07420431847093e+02;6,11567092626292e+01;Sainte-Foy-Lès-Lyon
690781810 - HOSPICES CIVILS DE LYON;84;69;69740;0-1;111,2793299391151;2,01200844122102e+02;8,47041258238736e+00;Genas
690781810 - HOSPICES CIVILS DE LYON;84;01;01360;0-1;110,8720744060881;2,86345966935247e+02;4,78176703058617e+00;Béligneux
690781810 - HOSPICES CIVILS DE LYON;84;38;38090;0-1;110,0372200247685;6,71108453183443e+02;1,38477248817834e+01;Villefontaine
690781810 - HOSPICES CIVILS DE LYON;84;69;69510;0-1;109,5437337016523;3,17046335927881e+02;4,69141553854560e+00;Soucieu-En-Jarrest
690781810 - HOSPICES CIVILS DE LYON;84;01;01500;0-1;106,3620201718005;6,34867719161828e+02;6,28916147298391e+00;Ambérieu-En-Bugey
690781810 - HOSPICES CIVILS DE LYON;84;69;69340;0-1;104,4105535614431;3,28003403972348e+02;3,89087633336574e+01;Francheville
690781810 - HOSPICES CIVILS DE LYON;84;69;69520;0-1;99,8706543593530;2,54007734808682e+02;4,29058567428355e+01;Grigny
690781810 - HOSPICES CIVILS DE LYON;84;01;01150;0-1;99,1341561565463;3,84604216586186e+02;2,45878352095951e+00;Lagnieu
690781810 - HOSPICES CIVILS DE LYON;84;69;69720;0-1;98,4357954847902;2,02036125070632e+02;5,68902659013813e+00;Saint-Bonnet-De-Mure
690781810 - HOSPICES CIVILS DE LYON;84;69;69960;0-1;95,7731587132795;1,76491172892637e+02;1,47559184553548e+01;Corbas
690781810 - HOSPICES CIVILS DE LYON;84;69;69380;0-1;92,8100571106043;5,74776867676129e+02;7,04034548169824e+00;Chazay-D'azergues
690781810 - HOSPICES CIVILS DE LYON;84;69;69130;0-1;92,7760621284586;3,37802452625438e+02;4,08884732775478e+01;Écully
690781810 - HOSPICES CIVILS DE LYON;84;38;38080;0-1;89,9290975597028;7,32286551107931e+02;1,54927657654308e+01;L'isle-D'abeau
690781810 - HOSPICES CIVILS DE LYON;84;69;69400;0-1;86,7101235400157;1,45295962958105e+03;2,80267320645979e+01;Villefranche-Sur-Saône
690781810 - HOSPICES CIVILS DE LYON;84;01;01390;0-1;86,2073809802529;2,74551989473760e+02;2,24577633695389e+00;Saint-André-De-Corcy
690781810 - HOSPICES CIVILS DE LYON;84;38;38460;0-1;85,2561227110851;3,93755512267099e+02;2,15707418622974e+00;Crémieu
690781810 - HOSPICES CIVILS DE LYON;84;38;38540;0-1;80,4054793587822;2,49641734413786e+02;5,76328969757451e+00;Heyrieux
690781810 - HOSPICES CIVILS DE LYON;84;69;69210;0-1;73,4164753077110;6,07297079260746e+02;5,64397774465385e+00;Lentilly
690781810 - HOSPICES CIVILS DE LYON;84;38;38280;0-1;68,4523515332998;1,68020722346135e+02;3,97962169469847e+00;Villette-D'anthon
690781810 - HOSPICES CIVILS DE LYON;84;01;01600;0-1;68,0176844707599;5,46380781791795e+02;1,01049561965404e+01;Trévoux
690781810 - HOSPICES CIVILS DE LYON;84;38;38110;0-1;66,5895766228510;7,06416740941858e+02;5,45129423724313e+00;La Tour-Du-Pin
690781810 - HOSPICES CIVILS DE LYON;84;38;38150;0-1;64,4156667274979;5,47688291807425e+02;3,90448800661307e+00;Roussillon
690781810 - HOSPICES CIVILS DE LYON;84;69;69630;0-1;64,3778538760708;1,60293348233366e+02;9,76666679462159e+00;Chaponost
690781810 - HOSPICES CIVILS DE LYON;84;69;69350;0-1;63,6473140452640;1,41416233011700e+02;6,97506837454185e+01;La Mulatière
690781810 - HOSPICES CIVILS DE LYON;84;42;42C07;0-1;60,2630681488128;4,27359830060117e+03;4,38786632563748e+01;Saint-Étienne/Roche-La-Molière
690781810 - HOSPICES CIVILS DE LYON;84;01;01000;0-1;59,2637957982077;9,95941937709047e+02;2,70681426325610e+01;Bourg-En-Bresse
690781810 - HOSPICES CIVILS DE LYON;84;38;38780;0-1;58,8696307531250;3,58890104367853e+02;3,83124310824645e+00;Pont-Évêque
690781810 - HOSPICES CIVILS DE LYON;84;42;42800;0-1;58,4848158067628;7,64382426640943e+02;9,04948867190175e+00;Rive-De-Gier
690781810 - HOSPICES CIVILS DE LYON;84;74;74C02;0-1;55,7980302528082;4,26223140732625e+03;1,25067653975518e+01;Quintal/Poisy/Groisy/Fillière/Annecy
690781810 - HOSPICES CIVILS DE LYON;84;38;38290;0-1;55,3634369397560;3,01698275132965e+02;8,47768594360627e+00;La Verpillière
690781810 - HOSPICES CIVILS DE LYON;84;69;69410;0-1;54,9956496822134;1,45139004807181e+02;5,33284017416106e+01;Champagne-Au-Mont-D'or
690781810 - HOSPICES CIVILS DE LYON;84;26;26000;0-1;54,5384214560397;1,52015681920615e+03;4,13128190836336e+01;Valence
690781810 - HOSPICES CIVILS DE LYON;84;69;69970;0-1;51,5471765364042;1,22037350729173e+02;3,95332777971713e+00;Chaponnay
690781810 - HOSPICES CIVILS DE LYON;84;74;74100;0-1;51,3364672955269;1,92077402300293e+03;7,47489834636237e+01;Annemasse
690781810 - HOSPICES CIVILS DE LYON;84;69;69660;0-1;49,6711186001188;9,68346097434286e+01;2,56331914155870e+01;Collonges-Au-Mont-D'or
690781810 - HOSPICES CIVILS DE LYON;84;69;69450;0-1;48,2224531217203;1,06329279012929e+02;1,51141449075703e+01;Saint-Cyr-Au-Mont-D'or
690781810 - HOSPICES CIVILS DE LYON;84;38;38550;0-1;47,7969324373450;4,16696164401593e+02;7,92281747948943e+00;Saint-Maurice-L'exil
690781810 - HOSPICES CIVILS DE LYON;84;38;38670;0-1;46,5216471330830;1,98384391486732e+02;2,38317031622416e+01;Chasse-Sur-Rhône
690781810 - HOSPICES CIVILS DE LYON;84;69;69570;0-1;44,2714130405510;1,83450625302332e+02;1,30590576555133e+01;Dardilly
690781810 - HOSPICES CIVILS DE LYON;84;69;69730;0-1;42,7855877523831;1,30242198447478e+02;1,59202386097747e+01;Genay
690781810 - HOSPICES CIVILS DE LYON;84;69;69370;0-1;42,7522098692041;1,06374261884926e+02;1,32465039739695e+01;Saint-Didier-Au-Mont-D'or
