FINESS_Hosp;Geo_Hosp;RegCode;DepCode;PMSIcode;catchmentHosp;PMSIpop;PMSIpopdensity;PMSIcode_Name
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69100;16909,1791804679851;154824,26528064150;10546,8240186462535;Villeurbanne
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69008;10041,4674060359921;86556,58951018356;12736,4959292201329;Lyon 8e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69003;9645,8989926420272;103435,65588469812;16700,0103789657114;Lyon 3e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69200;7217,1189126513982;66709,19373603330;4234,7859293987267;Vénissieux
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69120;7007,0110651988798;50463,25467200193;2359,3713962763577;Vaulx-En-Velin
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69800;6550,3196790300808;47356,11035135711;1608,8898448580424;Saint-Priest
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69500;6342,5287142679335;42238,81174345858;4254,9306799970000;Bron
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69007;6103,8501228759105;84252,05986150241;8773,9357123675745;Lyon 7e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69330;5324,0645558819915;46365,29793814159;820,3227038041476;Meyzieu
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69150;3130,8396141902931;28959,47188350386;1694,9913837442011;Décines-Charpieu
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69009;2886,6328424991730;52139,76624355732;6502,1914433267784;Lyon 9e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;38;38230;2561,1534674055529;27847,77917898893;849,8421602503786;Charvieu-Chavagneux
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69006;2239,8739126340001;52552,21144560511;14340,2654285362569;Lyon 6e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69780;2096,6027632409446;21322,78624964193;461,3172080689744;Mions
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69140;1959,4308640841737;31230,65915147573;2087,4329996257493;Rillieux-La-Pape
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69190;1896,3422799489688;19187,29821261349;3255,4375434856356;Saint-Fons
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69300;1714,7545566658587;43864,30266087250;4188,6165658405798;Caluire-Et-Cuire
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69005;1690,8937917924245;49614,84256769021;8433,5611358529586;Lyon 5e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;01;01120;1558,9557804402218;19293,24691224236;206,5533664871067;Montluel
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;01;01700;1486,4555843279118;21628,19404648300;454,4693967467319;Miribel
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69002;1412,4428916034285;31104,39193328485;8992,8717509265116;Lyon 2e Arrondissement
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69740;1366,8520064032566;13172,75037132679;554,5634312658285;Genas
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;38;38300;1307,2048275981649;53446,22335228724;301,8177054444490;Bourgoin-Jallieu
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;38;38090;1255,2887512927393;24743,94151713076;510,5691829611114;Villefontaine
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69360;1207,8177159564600;23522,04723251037;446,8528092277706;Saint-Symphorien-D'ozon
690781810 - HOSPICES CIVILS DE LYON;690007539 - HÔPITAL FEMME MERE ENFANT;84;69;69700;1196,5164425632800;32690,01323851661;358,6287730580337;Givors
