FINESS_Hosp;age_group;RegCode;DepCode;Year;n_Hosp;n;Pop;pHosp;catchmentHosp
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2016;12800;31549;47166,23364289077;0,405718089321373099;19136,1941940791112
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2016;1098;19705;29887,73363464418;0,055721897995432632;1665,4012449043041
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2016;950;9756;15501,54481808291;0,097375973759737597;1509,4780214410373
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2016;242;7548;11709,10131865618;0,032061473237943824;375,4110385684679
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2016;228;13264;19781,15530668000;0,017189384800965019;340,0258903741738
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2016;175;11625;17552,38575574668;0,015053763440860216;264,2294629897349
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2016;132;4088;6509,54551079638;0,032289628180039137;210,1908041646581
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2016;108;7093;11039,73232157441;0,015226279430424362;168,0940491653794
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2016;108;969;NA;0,111455108359133123;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2016;39;6239;9158,66169831849;0,006251001763103062;57,2508104238534
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2016;36;3785;5291,23954744848;0,009511228533685601;50,3261885622577
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2016;33;7949;13069,20628602895;0,004151465593156372;54,2563602263122
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2016;26;2847;4471,13626663616;0,009132420091324200;40,8322946724764
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2016;19;4643;6097,35717306930;0,004092181779022184;24,9514939238244
690781810 - HOSPICES CIVILS DE LYON;0-1;27;21;2016;19;7174;10925,90462793253;0,002648452746027321;28,9367421146805
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2016;14;8311;12634,48550382668;0,001684514498856937;21,2829740167938
690781810 - HOSPICES CIVILS DE LYON;0-1;93;84;2016;12;8796;12673,33454602528;0,001364256480218281;17,2896787803892
690781810 - HOSPICES CIVILS DE LYON;0-1;27;70;2016;11;3430;4916,34629023205;0,003206997084548105;15,7667082194031
