Year;Hospitalisations_MET;Hospitalisations_DOM;Hospitalisations_missing;Hospitalisations_TOTAL;catchmentHosp;catchmentArea;Total_MET;Area_MET;met_pct;com_pct;missing_pct
2016;10511699;310646;58289;10880634;63893361,0816851;542310,815095868;64468792;549239,4;0,966092508947549;0,0285503583706611;0,00535713268179042
2017;10412943;292006;56961;10761910;64063061,5521471;542324,230642481;64639133;549239,4;0,967573878614484;0,0271332876784883;0,00529283370702784
2018;10304672;298774;60112;10663558;64258043,3934337;542264,514191285;64844037;549239,4;0,966344629062832;0,0280182280623409;0,00563714287482658
2019;10190620;306473;57773;10554866;64518210,0726151;542283,848038723;65096768;549239,4;0,965490229814381;0,0290361810372581;0,00547358914836058
2020;9023316;280897;37145;9341358;64708448,0345607;542660,117002791;65269154;549192,4;0,965953344256799;0,0300702531687577;0,00397640257444367
2021;9332332;297325;35884;9665541;64956737,0117887;542484,547059675;65505213;549192,4;0,965526089020780;0,0307613407257804;0,00371257025343951
2022;9225976;298293;45863;9570132;65270004,9944742;542136,088824686;65846255;549192,4;0,964038531547945;0,0311691625570055;0,00479230589504931
2023;9212970;299559;72603;9585132;65416753,4311313;542016,458276094;66017385;549192,4;0,961172991670850;0,0312524647547890;0,00757454357436079
2024;9347704;294863;54457;9697024;65533449,8414451;542009,592957113;66192959;549192,4;0,963976576731170;0,0304075765925711;0,00561584667625861
2025;8652342;258774;61460;8972576;65658799,1310836;541633,572982715;66351959;549192,4;0,964309692110716;0,0288405470179355;0,00684976087134843
