RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
01;971;0-1;2019;5;0;7270,47421480880;0,000000000000000000;0,0000000000000
01;971;0-1;2020;1;0;7345,49968679101;0,000000000000000000;0,0000000000000
01;971;0-1;2021;3;0;7414,85749070435;0,000000000000000000;0,0000000000000
01;971;0-1;2022;22;0;7190,63470700386;0,000000000000000000;0,0000000000000
01;971;0-1;2023;2;0;7194,36718677519;0,000000000000000000;0,0000000000000
01;971;0-1;2024;5;0;7043,87298595044;0,000000000000000000;0,0000000000000
01;971;2-4;2019;5;0;11672,52578519120;0,000000000000000000;0,0000000000000
01;971;2-4;2020;0;0;11666,50031320899;NA;NA
01;971;2-4;2021;3;0;11739,14250929565;0,000000000000000000;0,0000000000000
01;971;2-4;2022;1;0;11322,36529299614;0,000000000000000000;0,0000000000000
01;971;2-4;2023;1;0;11296,63281322481;0,000000000000000000;0,0000000000000
01;971;2-4;2024;7;0;11529,12701404956;0,000000000000000000;0,0000000000000
01;971;5-17;2019;18;0;66009,59645079960;0,000000000000000000;0,0000000000000
01;971;5-17;2020;13;0;64050,21852013712;0,000000000000000000;0,0000000000000
01;971;5-17;2021;14;0;63065,29482351826;0,000000000000000000;0,0000000000000
01;971;5-17;2022;15;0;61215,89776172396;0,000000000000000000;0,0000000000000
01;971;5-17;2023;8;0;59531,45508648486;0,000000000000000000;0,0000000000000
01;971;5-17;2024;10;0;57786,38716353812;0,000000000000000000;0,0000000000000
01;971;18-64;2019;29;0;224468,40354920039;0,000000000000000000;0,0000000000000
01;971;18-64;2020;32;0;222734,78147986287;0,000000000000000000;0,0000000000000
01;971;18-64;2021;44;0;222329,70517648174;0,000000000000000000;0,0000000000000
01;971;18-64;2022;36;0;220819,10223827604;0,000000000000000000;0,0000000000000
01;971;18-64;2023;17;0;219077,54491351513;0,000000000000000000;0,0000000000000
01;971;18-64;2024;34;0;216608,61283646186;0,000000000000000000;0,0000000000000
01;971;65-79;2019;17;0;54862,00000000000;0,000000000000000000;0,0000000000000
01;971;65-79;2020;10;0;57407,00000000000;0,000000000000000000;0,0000000000000
01;971;65-79;2021;25;0;59088,00000000000;0,000000000000000000;0,0000000000000
01;971;65-79;2022;21;0;62020,00000000000;0,000000000000000000;0,0000000000000
